bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
BA Bhatt,Holkar Cricket Stadium,Kochi Tuskers Kerala,52,15,62.2,7.702970297029703,23.307692307692307,1,52.0,7.615384615384615,27.0,1,52.0,7.615384615384615,27.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
BJ Hodge,Holkar Cricket Stadium,Kings XI Punjab,18,20,47.0,7.411764705882353,13.22222222222222,3,27.0,8.903225806451612,31.0,2,104.5,6.5,7.2,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
Bipul Sharma,Holkar Cricket Stadium,Kochi Tuskers Kerala,98,28,50.07142857142857,7.665137614678899,19.818181818181817,1,98.0,7.44,12.5,1,98.0,7.44,12.5,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
P Parameswaran,Holkar Cricket Stadium,Kings XI Punjab,26,8,69.125,8.264150943396226,17.666666666666668,1,26.0,10.153846153846152,14.0,2,59.0,7.0285714285714285,17.5,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
PP Chawla,Holkar Cricket Stadium,Kochi Tuskers Kerala,75,180,66.71111111111111,7.702173913043478,19.574468085106385,1,75.0,5.538461538461538,26.0,2,49.5,6.315789473684211,38.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
R Vinay Kumar,Holkar Cricket Stadium,Kings XI Punjab,38,104,73.375,8.02836230558097,17.212598425196852,11,49.54545454545455,8.695652173913043,41.4,1,38.0,8.526315789473685,20.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
RA Jadeja,Holkar Cricket Stadium,Kings XI Punjab,36,197,57.15228426395939,7.3313019390581715,22.422360248447205,18,56.11111111111112,8.07624633431085,24.357142857142858,2,28.0,7.44,27.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
RJ Harris,Holkar Cricket Stadium,Kochi Tuskers Kerala,100,37,81.8108108108108,6.922543352601156,18.404255319148938,1,100.0,9.0,13.0,1,100.0,9.0,13.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
RP Singh,Holkar Cricket Stadium,Kings XI Punjab,182,82,78.29268292682927,7.159018143009605,18.74,10,73.0,8.578947368421053,22.8,2,129.5,4.8,10.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
RV Gomez,Holkar Cricket Stadium,Kings XI Punjab,6,9,38.888888888888886,7.917525773195877,16.166666666666668,1,6.0,12.0,7.0,1,6.0,12.0,7.0,9,139.18575063613233,1.3918575063613232,8.351145038167939,1.3918575063613232,335.0
