bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
BJ Hodge,New Wanderers Stadium,Delhi Daredevils,6,20,25.4,7.411764705882353,13.22222222222222,2,6.0,3.9,22.0,2,15.5,6.25,24.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
DP Nannes,New Wanderers Stadium,Kolkata Knight Riders,56,29,41.793103448275865,6.391872278664732,18.13157894736842,4,26.75,7.03030303030303,33.0,2,82.0,4.384615384615385,8.666666666666666,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
I Sharma,New Wanderers Stadium,Delhi Daredevils,56,101,25.92079207920792,7.420560747663552,26.75,8,32.25,6.627906976744186,21.5,2,28.0,5.28,25.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
M Kartik,New Wanderers Stadium,Delhi Daredevils,0,55,20.745454545454542,6.807106598984771,30.307692307692307,6,6.5,5.742857142857143,140.0,2,15.5,4.0,48.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
MC Henriques,New Wanderers Stadium,Delhi Daredevils,25,60,20.3,7.697650663942799,21.282608695652176,9,17.77777777777778,9.019354838709678,25.83333333333333,1,25.0,7.615384615384615,26.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
PJ Sangwan,New Wanderers Stadium,Kolkata Knight Riders,25,42,29.0,7.83646408839779,20.568181818181817,4,31.25,7.6,18.0,2,22.0,11.210526315789474,19.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
R Bhatia,New Wanderers Stadium,Kolkata Knight Riders,-6,91,26.32967032967033,7.173991571342564,20.25609756097561,7,21.285714285714285,7.387755102040816,29.4,2,26.0,7.5,12.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
SS Sarkar,New Wanderers Stadium,Delhi Daredevils,-6,2,13.5,8.16,25.0,1,-6.0,16.285714285714285,8.0,1,-6.0,16.285714285714285,8.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
TM Dilshan,New Wanderers Stadium,Kolkata Knight Riders,6,25,5.88,7.876363636363636,55.0,3,2.0,6.244897959183674,52.0,2,3.0,5.857142857142857,44.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
A Symonds,De Beers Diamond Oval,Rajasthan Royals,0,30,22.566666666666663,7.288888888888889,23.47826086956522,4,6.25,9.507692307692308,65.0,2,-3.0,9.483870967741936,33.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
AS Raut,De Beers Diamond Oval,Deccan Chargers,-6,5,-1.2,8.8,35.0,2,-3.0,10.0,14.0,1,-6.0,13.0,7.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
DR Smith,De Beers Diamond Oval,Rajasthan Royals,6,46,15.23913043478261,8.477558348294435,20.62962962962963,5,7.8,7.728813559322034,59.0,1,6.0,4.0,7.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
M Morkel,De Beers Diamond Oval,Deccan Chargers,0,70,37.48571428571429,7.080635668040023,19.306818181818183,6,26.33333333333333,7.225352112676056,23.666666666666668,1,0.0,6.0,20.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
MM Patel,De Beers Diamond Oval,Deccan Chargers,6,63,39.84126984126984,7.250361794500724,16.853658536585368,8,26.375,8.036363636363637,23.571428571428573,1,6.0,3.0,7.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
PP Ojha,De Beers Diamond Oval,Rajasthan Royals,79,90,31.877777777777776,6.974807197943445,19.646464646464647,13,22.07692307692308,8.785714285714286,25.454545454545453,2,52.0,6.260869565217392,11.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
RA Jadeja,De Beers Diamond Oval,Deccan Chargers,66,197,24.279187817258883,7.3313019390581715,22.422360248447205,5,55.2,6.0,13.875,2,33.0,6.315789473684211,19.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
RG Sharma,De Beers Diamond Oval,Rajasthan Royals,130,32,14.5625,7.530085959885387,21.8125,3,43.333333333333336,5.8604651162790695,10.75,2,90.0,4.8,5.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
RP Singh,De Beers Diamond Oval,Rajasthan Royals,39,82,36.829268292682926,7.159018143009605,18.74,11,40.36363636363637,5.926829268292683,17.571428571428573,2,19.5,6.418604651162791,43.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SK Trivedi,De Beers Diamond Oval,Deccan Chargers,25,75,27.986666666666668,7.090558766859345,21.328767123287676,9,43.11111111111112,6.606741573033708,12.714285714285714,2,29.0,8.91891891891892,18.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
SK Warne,De Beers Diamond Oval,Deccan Chargers,25,54,33.81481481481482,6.9076042518397385,20.383333333333333,7,53.85714285714285,6.654545454545454,12.692307692307692,2,38.0,6.823529411764706,25.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
WPUJC Vaas,De Beers Diamond Oval,Rajasthan Royals,72,13,52.46153846153846,7.1875,13.090909090909092,3,32.333333333333336,7.970149253731344,22.33333333333333,1,72.0,4.32,12.5,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
YK Pathan,De Beers Diamond Oval,Deccan Chargers,87,82,17.24390243902439,6.952702702702703,25.73913043478261,9,25.88888888888889,6.6938775510204085,21.0,2,43.5,7.469387755102041,16.333333333333332,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
A Kumble,SuperSport Park,Kolkata Knight Riders,25,42,36.69047619047619,6.268565615462869,20.06122448979592,5,30.2,5.008695652173913,23.0,3,33.333333333333336,6.3,15.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
AB Agarkar,SuperSport Park,Royal Challengers Bangalore,25,42,22.214285714285715,8.136585365853659,24.848484848484848,4,27.5,7.953488372093023,21.5,2,12.5,9.62264150943396,53.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
AD Mathews,SuperSport Park,Royal Challengers Bangalore,-6,44,17.318181818181817,7.836431226765799,28.821428571428573,7,30.142857142857142,6.9,17.142857142857142,1,-6.0,12.0,16.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
B Akhil,SuperSport Park,Kolkata Knight Riders,33,13,15.615384615384617,7.305699481865285,27.571428571428573,1,33.0,9.0,20.0,2,44.5,6.266666666666667,15.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
BAW Mendis,SuperSport Park,Royal Challengers Bangalore,39,10,25.3,7.137096774193548,27.55555555555556,3,13.0,6.8108108108108105,74.0,2,19.5,7.1020408163265305,49.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
DJ Hussey,SuperSport Park,Royal Challengers Bangalore,0,26,9.538461538461538,8.674922600619196,32.3,3,16.666666666666668,9.166666666666666,18.0,2,12.5,8.526315789473685,19.0,12.0,120.02791346824844,25.86466165413534,7.201674808094906,25.86466165413534,290.8333333333333
